#
# Log ID mappings
#

# Controller client
JBAS011094	WFLYEE0088
JBAS011095	WFLYEE0089
JBAS011096	WFLYEE0090
JBAS011097	WFLYEE0091
JBAS011098	WFLYEE0092
JBAS011099	WFLYEE0093
JBAS016700	WFLYEE0094
JBAS016701	WFLYEE0095
JBAS016702	WFLYEE0096
JBAS016703	WFLYEE0097
JBAS016704	WFLYEE0098
JBAS016705	WFLYEE0099
JBAS016706	WFLYEE0100
JBAS016707	WFLYEE0101
JBAS016708	WFLYEE0102
JBAS016709	WFLYEE0103
JBAS016710	WFLYEE0104
JBAS016711	WFLYEE0105
JBAS016712	WFLYEE0106
JBAS016713	WFLYEE0107
JBAS016714	WFLYEE0108
JBAS016715	WFLYEE0109

# WildFly EJB
JBAS014100	WFLYEJB0001
JBAS014101	WFLYEJB0002
JBAS014102	WFLYEJB0003
JBAS014103	WFLYEJB0004
